,Date,I_ext,a,b,Tl_a,SSPC_MBD,SSPC_MAPD,SSPC_RMSD,SSPC_MAD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,ESRA_RMSD,ESRA_KSI,ESRA_OVER,ESRA_CPI,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD
45,2010-07-29,1319.4456,0.2677,-4.2324,3.0117,2.52,2.6409,3.4238,453.6659,25.7565,0.4862,0.5176,50.9267,14.546,0.808,0.3725,14938.2955,14837.091,7445.5586,48.496,38720.4825,38620.4825,19336.9532,8.4303,572.7056,529.8481,78.4401,589.8831,129.8057,506.5821,129.0452,116.6424,54.8764,125.073,176.4364
46,2010-08-01,1320.4041,0.1764,-1.887,1.8752,1.2793,1.2783,1.8074,42.3084,14.8642,0.7141,1.0367,29.3484,5.6683,0.9366,0.351,3323.3088,3207.2068,1633.5326,122.9611,39824.0062,39724.0062,19887.9068,8.5901,602.116,556.5269,112.3388,614.7384,156.4726,530.2646,155.7606,143.7057,133.6397,152.5545,137.6817
47,2010-08-02,1320.7468,0.2438,-3.3351,2.7008,1.382,1.3845,1.9634,29.0575,12.7478,-0.5368,0.9802,25.2803,4.4313,0.7379,-0.0627,1793.9499,1651.4928,862.3424,128.0732,30659.2421,30559.2421,15305.6028,7.9046,542.6264,523.2465,45.4784,584.2171,178.6939,515.6529,177.3143,161.6897,174.7194,158.0165,196.4685
48,2010-08-04,1321.4668,0.1804,-2.0443,1.9225,0.9927,1.0029,1.2991,38.7985,7.7822,-0.3903,0.347,15.4641,7.3035,0.6497,-0.0655,2235.9339,2117.6692,1089.0503,113.9251,43002.7191,42902.7191,21477.0091,7.7327,515.2614,500.214,23.434,558.5303,167.684,493.3912,166.2196,150.1522,166.7572,143.9359,212.661
49,2010-08-05,1321.8439,0.4217,-9.5374,5.2928,3.2369,3.3112,3.9791,745.1726,32.1875,-0.7708,0.2369,63.5677,21.1664,0.5672,-0.2449,23691.6619,23582.5686,11820.5472,121.8196,110513.3389,110413.3389,55233.659,8.6211,602.2786,554.982,115.1008,613.002,154.8867,528.0353,154.2,142.3205,131.6078,151.4293,134.3366
50,2010-08-06,1322.2323,0.1929,-2.713,2.0707,0.5577,0.5639,0.6856,38.4939,5.7365,0.8863,0.8588,11.3236,11.5297,0.968,0.7087,2211.959,2094.6478,1076.9945,132.496,65076.5013,64976.5013,32513.5934,8.676,613.7575,565.2877,128.4421,622.706,165.4234,537.1875,164.7525,152.9749,141.8649,162.2393,118.3873
51,2010-08-07,1322.6318,0.1824,-3.0715,1.9464,2.8914,3.1156,3.4634,459.7942,25.0927,0.8998,0.834,49.648,19.0633,0.9709,0.7012,15824.4074,15714.5581,7886.4731,165.0882,124012.9632,123912.9632,61983.2133,8.3218,607.6082,577.4781,113.1902,639.6585,209.1787,564.7343,208.0345,193.5959,198.082,195.0315,140.9046
52,2010-08-17,1327.2204,0.2532,-5.3881,2.8219,3.2597,3.6977,5.0248,968.1903,39.0223,0.7164,0.5952,77.1151,14.6658,0.8938,0.5918,26013.1045,25910.1519,12983.3265,154.0047,158342.2905,158242.2905,79148.6576,8.5314,620.4741,580.4732,127.5981,642.8998,192.4573,563.6098,191.5391,178.2565,174.8482,183.8851,127.2199
53,2010-08-18,1327.7362,0.1826,-2.7279,1.9483,0.9239,0.9339,1.0163,603.3189,7.9737,0.9674,0.98,15.755,55.7312,0.9918,0.7868,11197.0024,11093.0851,5573.03,154.5631,238728.1957,238628.1957,119339.606,8.5787,628.0191,586.2794,129.9881,650.3732,191.4177,569.8992,190.5494,177.4623,171.7579,184.409,124.0882
54,2010-08-19,1328.262,0.4528,-8.4746,5.8265,0.9047,0.9363,1.3171,275.3403,10.3705,0.5173,0.5047,20.4894,16.3435,0.8086,0.4003,7460.4156,7354.1136,3704.2908,131.2294,136988.0997,136888.0997,68469.7084,8.5931,611.8084,566.7231,115.455,630.1037,165.9861,548.1532,165.207,152.6073,143.8805,161.0007,137.0016
